client_id,pit,period,recent_successful_repayments,future_bad_probability,available_credit,balance,sum_failed_repayments ,max_failed_repayments,credit_score,external score,credit_inquiries_count,credit_open_balance,years_on_file,max_successful_repayments,missing_report,client_industry_unknown,tag_in_six_months
14641,6/1/17,first_funded+120,4433.057859,0.964438652,3605.636757,16405.9972,887.3388787,667.0622555,612,884,13,64384,between 3 and 5 years,0,0,0,bad
10857,7/8/17,first_funded+180,7267.064596,0.94855327,2224.550794,7675.651539,335.7905806,330.4168167,685,993.5,7,29835,between 0.5 and 1 years,0,0,0,bad
23159,19/07/2017,first_funded+120,3768.947451,0.939620036,2070.79334,3900.758961,0,0,640,926,5,60916,,19,0,0,bad
5058,1/7/17,first_funded+120,9055.352428,0.939009709,1812.920578,8152.184156,0,0,700,1016,4,218822,between 8 and 10 years,,0,0,bad
12897,11/3/16,first_funded+120,2334.23359,0.938910933,-764.5542738,10731.28511,3668.76849,158.247317,644,932,26,60768,between 1 and 1.5 years,,0,0,bad
14108,27/08/2017,first_funded+180,-24.26180695,0.913875544,-176.2417048,6159.636587,1036.432068,261.6188214,768,1118,16,393824,between 5 and 6 years,0,0,1,bad
3742,2/1/17,first_funded+120,0.221488959,0.909647898,-1426.631368,6412.081116,222.9961681,222.3059606,619,894.5,12,78630,,,0,0,bad
12529,11/12/16,first_funded+120,4908.486626,0.908441938,-40.98651624,11735.52922,0,0,642,929,12,16827,between 8 and 10 years,,0,0,bad
12019,25/07/2017,first_funded+180,23799.44414,0.895160204,30614.4754,17586.95049,1679.119093,628.3163127,713,1035.5,8,419783,between 3 and 5 years,2,0,0,bad
14467,29/10/2016,first_funded+120,4751.366008,0.892920766,4116.766125,6108.609315,1201.096922,224.0665852,654,947,,51826,less than 0.5 year,,0,0,bad
2647,26/03/2017,first_funded+180,17052.24539,0.866897827,443.0832351,18855.04772,0,0,662,959,3,212813,between 1.5 and 2 years,,0,0,bad
15281,8/5/17,first_funded+180,-9.609538322,0.861520441,-4537.729415,19660.12967,2365.986493,873.5987747,660,956,13,50356,between 2 and 2.5 years,,0,0,bad
1430,4/5/17,first_funded+180,6558.77874,0.857469324,11293.59028,8832.874632,3734.647966,953.2323977,622,899,9,89717,between 6 and 8 years,,0,0,bad
19076,30/10/2016,first_funded+180,3702.787642,0.856508765,2705.450067,7621.625673,0,0,,-34,,,between 3 and 5 years,,0,0,bad
30506,23/10/2016,first_funded+180,7.128229412,0.855109674,8263.631102,6694.334645,227.7210024,221.8330159,599,864.5,2,284043,between 8 and 10 years,,0,0,bad
11450,7/12/17,first_funded+180,25799.25551,0.854858686,9894.245938,40343.16335,1908.123572,878.0349069,728,1058,2,487222,between 8 and 10 years,0,0,0,bad
6140,24/12/2016,first_funded+120,4789.571769,0.849734022,2795.14494,17657.22283,8999.764505,1187.812924,689,999.5,30,5247,,,0,0,bad
17701,13/10/2016,first_funded+120,2987.359161,0.848650216,5009.092394,5069.480988,1624.255106,336.3310007,643,930.5,3,99704,between 12 and 14 years,,0,0,bad
18580,22/11/2016,first_funded+180,19515.94957,0.847276526,3841.275054,22911.02037,0,0,,-34,,,between 3 and 5 years,,0,0,bad
43243,21/11/2016,first_funded+180,3990.591695,0.846912971,1812.106724,3208.803888,115.1113246,67.07884734,605,873.5,1,16425,,,0,0,bad
2843,4/1/17,first_funded+180,1099.802692,0.844122913,-4653.159432,24504.96304,3240.324996,946.2691171,703,1020.5,10,44776,between 2 and 2.5 years,,0,0,bad
4987,1/6/17,first_funded+120,33561.32311,0.840913186,15991.48268,72824.39018,0,0,740,1076,11,541534,between 8 and 10 years,,0,0,bad
12499,16/08/2017,first_funded+180,53.00202814,0.836911567,-3203.148627,23442.41294,2075.394389,225.7660836,658,953,7,63834,less than 0.5 year,0,0,1,bad
14090,24/05/2017,first_funded+120,6179.391411,0.836105194,5548.361001,9079.989567,1365.733498,442.3433197,617,891.5,14,152444,,0,0,0,bad
22427,21/07/2016,first_funded+120,,0.834915476,-3505.889324,13394.26286,,,677,981.5,13,132602,between 1 and 1.5 years,,0,0,bad
20277,23/10/2016,first_funded+180,7508.216367,0.828795573,45.92278005,19865.5153,1086.853784,625.6984064,771,1122.5,0,0,between 1 and 1.5 years,,0,0,bad
5658,7/4/17,first_funded+180,7372.082576,0.825789394,1013.687766,14600.11791,0,0,591,852.5,7,279223,between 2 and 2.5 years,23,0,0,bad
8646,2/6/17,first_funded+180,8821.305855,0.825752123,2873.63218,17258.88254,4038.444303,698.7898047,638,923,11,567105,less than 0.5 year,,0,1,bad
14730,25/12/2016,first_funded+180,11405.00184,0.823623483,1799.14807,17811.58887,1317.24819,424.712244,625,903.5,13,15909,between 6 and 8 years,,0,0,bad
11636,22/07/2017,first_funded+180,18548.48254,0.819319156,410.2138797,19053.65782,0,0,679,984.5,7,43975,between 12 and 14 years,25,0,0,bad
9331,26/04/2017,first_funded+120,10209.12773,0.816820693,7138.904854,12564.05764,887.8658787,221.1337069,618,893,9,739458,between 20 and 25 years,5,0,0,bad
39078,12/3/16,first_funded+180,29097.04992,0.813691976,8537.255716,31269.98242,3123.301112,848.7450718,686,995,21,415477,between 25 and 30 years,,0,0,bad
21058,9/4/17,first_funded+180,-10.4670149,0.813604034,-584.2113631,6626.235564,626.4339642,228.8438097,610,881,22,504015,,0,0,1,bad
8518,21/04/2017,first_funded+120,5371.746678,0.81245898,4969.583208,9931.88196,0,0,704,1022,0,55956,between 12 and 14 years,13,0,0,bad
2251,3/2/17,first_funded+120,3917.602375,0.811159408,1554.868597,8449.227918,497.2832619,57.59485434,665,963.5,11,32825,,,0,1,bad
2843,31/01/2017,first_funded+120,9263.270757,0.810993429,-842.8205569,21025.4273,3235.725389,949.0128326,702,1019,8,45064,between 3 and 5 years,,0,0,bad
5926,3/8/17,first_funded+120,64.26067774,0.810400793,-2192.170155,12248.74511,487.4600802,444.5814446,663,960.5,15,62560,between 6 and 8 years,,0,0,bad
17889,16/09/2016,first_funded+120,9238.444257,0.809874406,15709.77092,9383.458729,0,0,627,906.5,12,219227,between 25 and 30 years,,0,0,bad
7068,21/12/2016,first_funded+120,2978.905221,0.808341867,6842.95586,3138.340286,568.4681034,300.363859,618,893,12,29584,between 6 and 8 years,,0,0,bad
4562,21/05/2017,first_funded+180,2063.744669,0.80427851,-1539.464746,21585.57295,5090.447306,351.6042802,643,930.5,15,661435,between 25 and 30 years,,0,0,bad
1107,18/02/2017,first_funded+120,1899.073087,0.802074408,1554.457115,7487.83673,0,0,693,1005.5,50,55976,less than 0.5 year,,0,0,bad
21633,26/09/2016,first_funded+180,8.315459211,0.799957315,-848.3639294,5832.288393,221.200888,226.7907801,601,867.5,34,37016,between 3 and 5 years,,0,0,bad
23220,8/2/16,first_funded+120,3818.873817,0.799916344,11302.53438,9299.560962,,,,-34,,,between 1 and 1.5 years,,0,0,bad
11503,18/01/2017,first_funded+180,8469.616118,0.798321946,19836.32826,7.528797044,685.2537053,665.1254756,654,947,9,181287,,,0,0,bad
21610,16/08/2016,first_funded+120,113361.0755,0.794007973,31269.03046,47.04108142,,,644,932,8,152511,between 2.5 and 3 years,,0,0,bad
4749,29/03/2017,first_funded+120,-62.07442626,0.792908889,-866.6179581,7848.597495,634.3841195,345.671013,632,914,18,74699,between 2 and 2.5 years,,0,0,bad
14453,11/8/16,first_funded+120,12894.63414,0.790843461,10093.81282,18897.10212,0,0,652,944,2,56205,between 1 and 1.5 years,,0,0,bad
14769,10/12/16,first_funded+120,7486.49446,0.790649239,13017.00559,9807.030089,357.4486783,358.5113618,628,908,7,43936,between 3 and 5 years,,0,0,bad
33647,1/9/17,first_funded+180,19293.58233,0.790092473,6322.174953,13669.29878,0,0,616,890,47,161283,between 0.5 and 1 years,,0,0,bad
43237,20/08/2016,first_funded+180,8750.949718,0.788740612,-2359.414085,22350.64153,2136.096274,227.9387588,637,921.5,31,95415,,,0,0,bad
17897,29/11/2016,first_funded+180,25085.69457,0.787794609,1753.760594,29132.72676,0,0,751,1092.5,4,49855,between 0.5 and 1 years,,0,0,bad
12499,17/06/2017,first_funded+120,6358.072589,0.786797382,-351.9049496,20208.3443,2067.205663,228.165435,659,954.5,5,63830,between 1.5 and 2 years,0,0,1,bad
3670,28/01/2017,first_funded+120,1753.633126,0.783842591,16641.57388,3366.550433,6120.541229,5000.159791,691,1002.5,5,96838,between 6 and 8 years,,0,1,bad
21480,7/8/17,first_funded+120,10994.78748,0.778685416,10838.05454,9276.151679,1054.029664,516.8712985,670,971,0,495214,between 17 and 20 years,11,0,0,bad
4512,21/03/2017,first_funded+180,12296.12311,0.777921994,1352.085049,19347.37536,5088.03039,4862.021412,654,947,9,374003,between 12 and 14 years,,0,0,bad
24642,26/07/2017,first_funded+120,689.7458823,0.773899842,239.8712556,5866.74483,242.5765074,238.3388225,796,1160,0,7936,less than 0.5 year,0,0,0,bad
3909,7/3/17,first_funded+180,-53.70752061,0.773048546,-6561.674852,26464.95065,1590.934014,888.1460067,586,845,20,242495,between 0.5 and 1 years,0,0,0,bad
18817,9/6/16,first_funded+120,872.4868871,0.771616036,-5086.584129,25123.06517,899.9900742,678.4950893,639,924.5,21,547247,between 2.5 and 3 years,,0,0,bad
16331,10/1/16,first_funded+120,10600.11698,0.771240989,1928.09544,18277.67239,696.0462534,204.4945064,639,924.5,7,174138,between 3 and 5 years,,0,0,bad
5352,1/5/17,first_funded+120,943.5451037,0.769831,-2437.436745,22511.25895,3575.072439,888.348159,611,882.5,1,162482,between 3 and 5 years,,0,0,bad
37544,31/08/2016,first_funded+180,6693.201553,0.76935622,-1230.958378,11130.82246,966.8254363,137.7795901,627,906.5,4,41740,between 1.5 and 2 years,,0,0,bad
24331,21/07/2017,first_funded+120,1010.225521,0.768702957,40017.77739,-26.26111814,0,0,661,957.5,15,869055,between 8 and 10 years,0,0,1,bad
30710,20/05/2017,first_funded+120,22325.38541,0.768514281,16033.12356,29434.61816,1249.863262,1251.711084,724,1052,1,58194,between 1 and 1.5 years,10,0,0,bad
21480,9/6/17,first_funded+180,8338.40927,0.764964301,15178.44726,4776.403847,2480.297793,598.3135491,664,962,4,495282,between 17 and 20 years,0,0,0,bad
7336,6/12/17,first_funded+180,41.17934257,0.763552206,9558.955273,25737.40229,1533.150517,1538.086271,649,939.5,19,480073,between 14 and 17 years,,0,0,bad
16877,5/1/17,first_funded+180,9374.720043,0.763528346,11793.01597,8041.675767,0,0,,-34,,,,21,0,1,bad
5276,15/03/2017,first_funded+180,14760.82003,0.762550099,2409.960991,37834.16436,876.7458457,876.4739694,583,840.5,83,1341,,,0,0,bad
14365,30/07/2017,first_funded+180,92.40292615,0.76250549,-6479.963667,26423.85589,861.4757256,835.5915398,735,1068.5,12,208429,between 1.5 and 2 years,0,0,0,bad
1135,4/6/17,first_funded+120,11590.51298,0.762414517,7998.832364,13778.41972,0,0,750,1091,8,102702,between 6 and 8 years,12,0,0,bad
8101,2/6/17,first_funded+180,2022.235617,0.761927199,-1955.850714,22034.64986,2279.121211,379.823008,680,986,13,400416,,,0,0,bad
18580,23/09/2016,first_funded+120,12091.23497,0.761474087,32.68748809,23992.58997,0,0,,-34,,,between 2 and 2.5 years,,0,0,bad
9462,29/01/2017,first_funded+180,17449.99072,0.761286663,1040.02128,18939.60692,1152.986595,448.504901,640,926,0,422277,between 10 and 12 years,,0,0,bad
15004,13/10/2016,first_funded+120,5676.025511,0.759757464,1102.018941,9274.719168,0,0,609,879.5,16,60467,between 0.5 and 1 years,,0,0,bad
9558,30/11/2016,first_funded+120,3189.38833,0.759656004,2854.88504,5108.831935,0,0,612,884,11,79146,,,0,1,bad
24211,30/08/2016,first_funded+180,11688.39357,0.758181854,-2056.99303,21926.80469,855.6042885,201.656545,632,914,5,415996,between 10 and 12 years,,0,0,bad
8524,2/12/17,first_funded+180,8430.996199,0.757514827,4837.47582,15115.26497,2564.77165,455.2086543,639,924.5,12,314,,,0,1,bad
16121,20/08/2017,first_funded+180,26.14154346,0.757199836,-15062.94845,65150.73953,8067.705052,1992.532819,692,1004,6,217762,between 14 and 17 years,0,0,1,bad
236,23/05/2017,first_funded+120,3529.002232,0.757182004,2009.986853,3876.080863,0,0,651,942.5,6,43826,between 10 and 12 years,11,0,0,bad
10857,5/9/17,first_funded+120,10372.86239,0.757090721,2761.025978,7184.043987,0,0,693,1005.5,10,29752,between 2.5 and 3 years,4,0,0,bad
7386,17/12/2016,first_funded+120,11864.79084,0.756661403,3544.549418,16089.9838,2093.561612,449.3493558,664,962,2,159014,between 17 and 20 years,,0,0,bad
4570,3/12/17,first_funded+180,17854.01321,0.755561771,1568.326696,17873.17885,0,0,640,926,22,233214,between 14 and 17 years,,0,0,bad
34057,28/07/2016,first_funded+120,,0.75486845,-5285.438285,25464.93807,,,647,936.5,12,68568,between 5 and 6 years,,0,0,bad
33603,1/8/17,first_funded+180,1232.058694,0.754339699,2363.199427,17996.18018,5932.267909,965.3360964,653,945.5,34,360802,between 3 and 5 years,,0,0,bad
11414,15/01/2017,first_funded+180,1041.529916,0.754298308,-258.3943606,10286.76914,3063.030942,501.6222444,632,914,13,205055,between 8 and 10 years,,0,0,bad
11316,1/11/17,first_funded+180,12378.23737,0.752926986,5436.220417,9606.630229,981.4330556,223.919063,694,1007,17,4080,between 12 and 14 years,,0,0,bad
6617,19/07/2017,first_funded+180,4955.081727,0.752333686,-101.6225572,13668.61843,0,0,609,879.5,21,1623,,23,0,0,bad
19986,9/5/17,first_funded+180,1320.320891,0.749666788,-428.0563824,6627.886045,413.5907717,264.285631,717,1041.5,5,48103,,0,0,0,bad
7503,13/04/2017,first_funded+120,1818.461651,0.74717256,-178.3461248,10171.8428,5003.938806,570.911093,674,977,115,567209,between 8 and 10 years,4,0,0,bad
4257,29/03/2017,first_funded+180,12797.15027,0.745879061,2054.43737,17908.45007,416.0051566,205.4628636,790,1151,10,196434,,,0,0,bad
8324,12/6/16,first_funded+120,13844.37873,0.745807634,4686.437812,13358.76918,0,0,610,881,19,199283,,,0,0,bad
10853,19/02/2017,first_funded+180,338.6348595,0.745486905,5672.669352,284.265625,140.6612593,53.82809849,622,899,10,144964,less than 0.5 year,,0,0,bad
17826,23/08/2017,first_funded+180,-43.18016262,0.744386069,-784.6258725,20858.39563,1211.210067,559.9518917,626,905,23,1124679,between 1.5 and 2 years,0,0,0,bad
18518,9/7/16,first_funded+120,7355.771841,0.742488037,-331.8509401,15332.97284,2630.339923,700.1736723,583,840.5,10,38127,between 1 and 1.5 years,,0,0,bad
35087,15/08/2016,first_funded+180,43351.15083,0.74167983,,50548.23716,,,652,944,,,between 6 and 8 years,,0,0,bad
1107,19/04/2017,first_funded+180,2184.437575,0.741554753,1995.699541,7250.709052,390.8339792,396.7711407,689,999.5,49,56045,less than 0.5 year,4,0,0,bad
20094,20/09/2016,first_funded+120,8012.623368,0.740954147,6460.07917,11916.70996,4341.553138,884.3663972,604,872,26,387563,between 3 and 5 years,,0,0,bad
16019,6/6/17,first_funded+120,5476.692809,0.740775416,10522.77619,4906.980904,0,0,594,857,24,43714,between 2 and 2.5 years,12,0,1,bad
16792,26/10/2016,first_funded+120,3146.547168,0.740439288,664.3098932,6098.684024,0,0,663,960.5,18,156297,between 2.5 and 3 years,,0,0,bad
26523,10/3/17,first_funded+180,45.2294106,0.740231047,-4516.85149,24694.09783,1112.668873,877.0454285,688,998,15,509107,between 12 and 14 years,0,0,0,bad
